   rho_c        M         M_0         R         Omega      Omega_p       T/W           C*J/GM_s^2      I        h_plus       h_minus       Z_p      Z_b        Z_f       omega_c/Omega   r_e     r_ratio     Omega_pa    Omega+    u_phi
9.00000e+14 8.78552e-01 9.38290e-01 1.04482e+01 2.00008e-01 1.00783e+00 6.78724e-03 1.34345e-01 5.90321e-01 0.00000e+00 0.00000e+00 1.56937e-01 2.50564e-01 6.44677e-02 3.25334e-01 2.48015e-01 9.72443e-01
r/(r+r_e)  cos(theta)     rho        gamma      alpha      omega     pressure
0.0000e+00 7.8125e-01 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5070e-02 7.8399e+34
0.0000e+00 7.9688e-01 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5070e-02 7.8399e+34
0.0000e+00 8.1250e-01 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5070e-02 7.8399e+34
0.0000e+00 8.2812e-01 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5070e-02 7.8399e+34
0.0000e+00 8.4375e-01 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5070e-02 7.8399e+34
0.0000e+00 8.5938e-01 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5070e-02 7.8399e+34
0.0000e+00 8.7500e-01 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5070e-02 7.8399e+34
0.0000e+00 8.9062e-01 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5070e-02 7.8399e+34
0.0000e+00 9.0625e-01 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5070e-02 7.8399e+34
0.0000e+00 9.2188e-01 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5070e-02 7.8399e+34
0.0000e+00 9.3750e-01 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5070e-02 7.8399e+34
0.0000e+00 9.5312e-01 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5070e-02 7.8399e+34
0.0000e+00 9.6875e-01 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5070e-02 7.8399e+34
0.0000e+00 9.8438e-01 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5070e-02 7.8399e+34
0.0000e+00 1.0000e+00 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5070e-02 7.8399e+34
7.8117e-03 0.0000e+00 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5070e-02 7.8400e+34
7.8117e-03 1.5625e-02 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5070e-02 7.8400e+34
7.8117e-03 3.1250e-02 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5070e-02 7.8400e+34
7.8117e-03 4.6875e-02 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5070e-02 7.8400e+34
7.8117e-03 6.2500e-02 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5070e-02 7.8400e+34
7.8117e-03 7.8125e-02 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5070e-02 7.8400e+34
7.8117e-03 9.3750e-02 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5070e-02 7.8400e+34
7.8117e-03 1.0938e-01 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5070e-02 7.8400e+34
7.8117e-03 1.2500e-01 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5070e-02 7.8400e+34
7.8117e-03 1.4062e-01 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5070e-02 7.8400e+34
7.8117e-03 1.5625e-01 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5070e-02 7.8400e+34
7.8117e-03 1.7188e-01 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5070e-02 7.8400e+34
7.8117e-03 1.8750e-01 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5070e-02 7.8400e+34
7.8117e-03 2.0312e-01 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5070e-02 7.8400e+34
7.8117e-03 2.1875e-01 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5070e-02 7.8400e+34
7.8117e-03 2.3438e-01 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5070e-02 7.8400e+34
7.8117e-03 2.5000e-01 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5070e-02 7.8400e+34
7.8117e-03 2.6562e-01 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5070e-02 7.8400e+34
7.8117e-03 2.8125e-01 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5070e-02 7.8400e+34
7.8117e-03 2.9688e-01 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5070e-02 7.8400e+34
7.8117e-03 3.1250e-01 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5070e-02 7.8400e+34
7.8117e-03 3.2812e-01 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5069e-02 7.8400e+34
7.8117e-03 3.4375e-01 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5069e-02 7.8400e+34
7.8117e-03 3.5938e-01 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5069e-02 7.8400e+34
7.8117e-03 3.7500e-01 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5069e-02 7.8400e+34
7.8117e-03 3.9062e-01 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5069e-02 7.8400e+34
7.8117e-03 4.0625e-01 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5069e-02 7.8400e+34
7.8117e-03 4.2188e-01 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5069e-02 7.8400e+34
7.8117e-03 4.3750e-01 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5069e-02 7.8400e+34
7.8117e-03 4.5312e-01 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5069e-02 7.8400e+34
7.8117e-03 4.6875e-01 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5069e-02 7.8400e+34
7.8117e-03 4.8438e-01 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5069e-02 7.8400e+34
7.8117e-03 5.0000e-01 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5069e-02 7.8400e+34
7.8117e-03 5.1562e-01 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5069e-02 7.8400e+34
7.8117e-03 5.3125e-01 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5069e-02 7.8400e+34
7.8117e-03 5.4688e-01 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5069e-02 7.8400e+34
7.8117e-03 5.6250e-01 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5069e-02 7.8400e+34
7.8117e-03 5.7812e-01 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5069e-02 7.8400e+34
7.8117e-03 5.9375e-01 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5069e-02 7.8400e+34
7.8117e-03 6.0938e-01 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5069e-02 7.8400e+34
7.8117e-03 6.2500e-01 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5069e-02 7.8400e+34
7.8117e-03 6.4062e-01 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5069e-02 7.8400e+34
7.8117e-03 6.5625e-01 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5069e-02 7.8400e+34
7.8117e-03 6.7188e-01 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5069e-02 7.8400e+34
7.8117e-03 6.8750e-01 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5069e-02 7.8399e+34
7.8117e-03 7.0312e-01 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5069e-02 7.8399e+34
7.8117e-03 7.1875e-01 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5069e-02 7.8399e+34
7.8117e-03 7.3438e-01 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5069e-02 7.8399e+34
